Program Time [s],data 0,data 1
0.0,497.791144600711,512.2276645505262
0.02,497.664318178654,522.1097827425193
0.04,502.31199199376385,519.1526253247663
0.06,507.55031481306753,501.0064152820557
0.08,494.07197022880575,517.2371348356351
0.1,503.7904536863732,518.8892713111138
0.12,509.95403219200534,527.4700885626819
0.14,504.5902493170517,522.6236782674598
0.16,512.288290678559,514.828143222469
0.18,516.6356401914913,501.02160909494404
0.2,505.9019224431242,516.4398104643188
0.22,512.5375814150422,519.8204754678951
0.24,503.0506180987124,513.8129478338044
0.26,511.90180079327274,525.2850420196597
0.28,498.2496263276612,501.51011496525126
0.3,508.4115041378783,508.5453509999387
0.32,500.4160578295839,511.9944281905228
0.34,513.8432721558056,525.3005907351105
0.36,503.35893776072874,517.40456660292
0.38,501.68396128837725,513.9921429502439
0.4,488.47003778789764,514.2797519342834
0.42,500.2925037721031,514.9122682590344
0.44,493.7443948766247,518.0357788440299
0.46,482.45843855964284,506.2590930220782
0.48,483.69551294957495,514.162364042116
0.5,496.2147173216081,512.7198074396232
0.52,514.2328484642862,518.7243296671548
0.54,484.9212158948598,518.4796724175161
0.56,502.57178581517934,520.3913795663045
0.58,511.06100643507096,514.3623799660483
0.6,516.402940524388,506.8127132495966
0.62,508.8758970472151,516.444226851561
0.64,514.5639341026656,516.3216548927559
0.66,515.7915337682106,506.5945530275435
0.68,529.8920304322672,511.99434842976353
0.7,520.9194956750647,511.16506500340716
0.72,550.5256387112262,507.74931798578837
0.74,563.2290662782475,504.72060651536856
0.76,570.3510478343273,499.55213762218807
0.78,569.1262550633834,499.3455097744448
0.8,588.6121692924255,503.45440469489324
0.82,575.417936511652,508.2062861660175
0.84,595.4179953941621,498.08500074479184
0.86,579.090272898629,506.8989673116136
0.88,545.1061536571073,506.74365228125055
0.9,529.1249875986832,511.7260075879225
0.92,526.6739337873527,512.2646196710671
0.94,508.01420045201945,512.0452252341829
0.96,472.650911775281,513.222424732264
0.98,445.8013527702419,513.0071245360024
1.0,419.45241261921103,501.73575539958915
1.02,409.9040063305186,514.4889085312193
1.04,378.62047755307134,518.2897321879744
1.06,362.2055915215599,521.0137255772922
1.08,370.92767045562834,514.0824117424605
1.1,370.6154164469383,535.2683953080177
1.12,347.01679026789805,540.9398475848642
1.14,347.36773115742534,531.1976604078517
1.16,365.5171311212069,533.4380556805507
1.18,372.13850472672533,537.1262039664979
1.2,398.0488599759604,533.7256511356493
1.22,400.9084492549555,538.0541809851699
1.24,409.41243595930797,529.9566281137895
1.26,435.64751831996296,526.0117907117824
1.28,445.16956160323053,532.5513838403717
1.3,445.47699168461185,521.2813980191933
1.32,490.70425435477404,520.796178946956
1.34,472.33552998836797,527.6957659648597
1.36,485.73273207326275,521.931117366887
1.38,472.8394677768781,520.9326440015959
1.4,479.2506090161531,516.006939577049
1.42,493.2363782479788,511.2296109152795
1.44,493.53069958711916,520.7674345731831
1.46,500.97619476068826,514.4611429836516
1.48,492.8942332410301,515.1627132583101
1.5,472.3160165357869,492.57420930985285
1.52,467.73138592271687,500.0785838308931
1.54,460.5495452029214,498.2783590503008
1.56,491.6300715309491,495.5640843025765
1.58,467.05528418089153,492.0471487671655
1.6,481.61156531407585,494.1945170076675
1.62,464.643431869321,498.61452666310606
1.64,458.6654384307345,502.78760977953584
1.66,467.85683373524876,497.74017844714245
1.68,480.34404552568367,481.57059027942597
1.7,469.77032926399727,499.3477744002097
1.72,461.64961948706605,509.93475083818385
1.74,462.0257237224659,515.6867493174198
1.76,476.7998510434369,505.50669181641297
1.78,467.55860270730057,513.0353301683558
1.8,479.4258628813356,492.18021010779654
1.82,475.20556296177176,491.3265966383512
1.84,479.197145964469,499.78499188195116
1.86,475.3509785593998,500.0884372777846
1.88,485.55120223083287,501.1134694213095
1.9,474.752191404166,496.5732303703387
1.92,462.54297303727657,496.21184951057035
1.94,476.7525937188633,484.3384045502783
1.96,482.3640201120131,493.80440425571726
1.98,470.7824537033027,490.0816802977955
2.0,483.4811096552152,491.5387531673441
2.02,471.0247919227362,491.2406431235654
2.04,476.3991533994147,482.0772520863841
2.06,489.8602057754631,482.55956816335623
