Program Time [s],data 0,data 1
0.0,510.5902750527027,486.4937620013301
0.02,513.4666943154846,482.28644815444505
0.04,518.8784378177586,495.2338840518529
0.06,521.8316843255598,489.6587267254219
0.08,511.2657156550584,478.38323956271137
0.1,519.1193787293149,488.43522498767146
0.12,510.36901115692825,491.5299138171082
0.14,522.5791729474886,490.7120941638242
0.16,516.5797886449316,499.17038488842684
0.18,512.2876116523416,481.19948244796046
0.2,514.8002693586296,501.38001708586313
0.22,504.8405377903548,501.105786025241
0.24,513.3695907261371,486.3862033443953
0.26,508.55345289209083,486.6508552132119
0.28,521.5050052744559,495.62564617554193
0.3,513.1703452925577,485.050902145916
0.32,516.7267612948453,495.2379780155264
0.34,505.2997389318344,478.12896526048536
0.36,525.5122671318637,491.2931902451757
0.38,528.5423610714429,492.35061129041264
0.4,525.6153595366308,491.57026844498756
0.42,516.7884582670396,482.6056477293934
0.44,524.4121167715828,486.35741428765937
0.46,513.7925027927531,485.45793926332294
0.48,522.5680497294587,483.12032086626664
0.5,522.8659499582847,488.4896315791608
0.52,520.8219955111978,469.86068185301
0.54,517.0243584015262,484.9509738124534
0.56,518.3681560403203,491.1772629847736
0.58,537.9589878513183,485.7804329012025
0.6,528.1009231770463,496.00945894340293
0.62,534.7438650442422,482.18989670637023
0.64,526.357725632073,477.39470437659384
0.66,543.3865301180439,482.65440175715963
0.68,542.7130154867141,477.2882238884519
0.7,506.3575546886035,477.3608701726792
0.72,505.30500592902325,477.4558698133709
0.74,514.5403280849259,478.5243935783311
0.76,512.530457672541,482.03865683016744
0.78,509.53483888671377,485.3147280866873
0.8,503.9047545555982,478.0694743880485
0.82,518.167387972207,488.03020686266444
0.84,516.9325188906887,494.29415472311024
0.86,517.3863711148753,494.8834898514383
0.88,517.3080552232282,495.62565629211764
0.9,507.28371408442143,479.9276444589312
0.92,512.4123955365395,506.73566110828654
0.94,514.5174608932645,489.7814814725721
0.96,511.3625824089874,507.3635495227471
0.98,512.318830863328,504.0717127398631
1.0,519.5709584793494,527.3397853763456
1.02,520.7190899004006,507.52146685710954
1.04,518.2786160253925,507.9375667841394
1.06,522.1190491187233,519.6691619540787
1.08,526.4981465496169,501.61245833536657
1.1,524.0965470787494,525.6065924294552
1.12,525.7657952017573,520.7068251223973
1.14,517.0755891076154,541.5022486041472
1.16,521.0022991439728,534.6217371258978
1.18,516.6992299889174,554.8388052838872
1.2,522.4739498760188,547.5411288305909
1.22,513.069619402011,552.4184608512854
1.24,526.3295840344647,551.2247845201249
1.26,529.2270508807683,559.8055600120327
1.28,519.1682482290347,554.9362110938116
1.3,526.2266270472577,541.6869299842472
1.32,528.4529369745861,542.6196997891246
1.34,525.7955801254059,546.6266730613983
1.36,515.2055298458282,542.1817202892232
1.38,524.0060925686432,537.809369529726
1.4,525.1239023185989,535.3880814367715
1.42,513.6367720302983,529.6028536412335
1.44,515.0135569729615,509.06590500436744
1.46,518.3893297776701,496.64062603431773
1.48,517.5723469003532,502.61791672697524
1.5,514.7271975896123,487.67319672192684
1.52,512.6716074242217,479.9102189617923
1.54,510.13747159093447,447.9933457852005
1.56,508.0036595214542,439.132678882773
1.58,498.31276995133976,429.1652572380096
1.6,505.4564788360389,410.50593331602823
1.62,507.8050036208801,401.4670487897064
1.64,506.7314875278858,399.07991151133484
1.66,504.8860377073177,377.1753560384977
1.68,494.96960948225836,353.6286171148774
1.7,499.62838619791546,359.00235403670683
1.72,492.1704754391432,355.78253168473634
1.74,498.92850791598363,360.20029166730853
1.76,491.94432706969934,335.8364209495071
1.78,485.66894081619773,342.3674540390498
1.8,487.2064691507754,345.52312014304016
1.82,502.767886940918,338.6959015572307
1.84,501.05439485802435,337.63639801753925
1.86,497.4280289446129,351.3512294836382
