time_s,H,V
0.0,512.4,530.0
0.02,517.02,550.48
0.04,517.02,550.48
0.06,519.01,560.18
0.08,520.81,563.95
0.1,521.25,565.16
0.12000000000000001,521.2,566.53
0.14,519.76,559.82
0.16,519.21,550.86
0.18,518.37,545.09
0.19999999999999998,516.29,543.07
0.21999999999999997,515.63,541.45
0.23999999999999996,515.91,533.76
0.25999999999999995,515.91,533.76
0.27999999999999997,513.74,528.41
0.3,513.74,528.41
0.32,513.35,528.78
0.34,514.08,525.03
0.36000000000000004,514.08,525.03
0.38000000000000006,514.87,523.02
0.4000000000000001,514.49,522.42
0.4200000000000001,514.39,522.93
0.4400000000000001,513.52,524.15
0.46000000000000013,513.41,522.92
0.48000000000000015,513.53,523.33
0.5000000000000001,510.42,526.87
0.5200000000000001,510.42,526.87
0.5400000000000001,512.79,559.91
0.5600000000000002,515.83,566.53
0.5800000000000002,515.83,566.53
0.6000000000000002,518.73,517.1
0.6200000000000002,516.59,475.68
0.6400000000000002,510.87,437.54
0.6600000000000003,508.3,413.24
0.6800000000000003,508.3,413.24
0.7000000000000003,504.95,395.19
0.7200000000000003,504.95,395.19
0.7400000000000003,503.56,394.15
0.7600000000000003,503.45,397.32
0.7800000000000004,502.96,405.06
0.8000000000000004,502.57,415.25
0.8200000000000004,502.25,425.4
0.8400000000000004,502.25,425.4
0.8600000000000004,502.12,442.81
0.8800000000000004,502.7,450.45
0.9000000000000005,501.16,457.16
0.9200000000000005,501.33,464.73
0.9400000000000005,501.33,464.73
0.9600000000000005,502.13,477.39
0.9800000000000005,502.3,480.91
1.0000000000000004,504.04,484.33
1.0200000000000005,504.83,487.26
1.0400000000000005,504.83,487.26
1.0600000000000005,507.27,491.61
1.0800000000000005,508.41,494.69
1.1000000000000005,508.13,498.75
1.1200000000000006,508.5,501.8
1.1400000000000006,508.0,506.44
1.1600000000000006,507.0,508.55
1.1800000000000006,507.0,509.64
1.2000000000000006,507.0,509.64
1.2200000000000006,504.64,513.97
1.2400000000000007,504.11,513.58
1.2600000000000007,504.11,513.58
1.2800000000000007,504.15,512.17
1.3000000000000007,504.12,511.54
1.3200000000000007,505.1,511.63
1.3400000000000007,505.68,511.5
1.3600000000000008,505.68,511.5
1.3800000000000008,506.31,507.84
1.4000000000000008,506.31,507.84
1.4200000000000008,505.85,504.87
1.4400000000000008,505.68,505.5
1.4600000000000009,504.54,506.8
1.4800000000000009,503.64,506.84
1.5000000000000009,502.91,509.07
1.520000000000001,502.33,508.46
1.540000000000001,503.86,509.97
1.560000000000001,503.69,510.57
1.580000000000001,503.35,512.26
1.600000000000001,503.88,512.21
1.620000000000001,503.88,512.21
1.640000000000001,502.08,510.33
1.660000000000001,504.67,509.67
1.680000000000001,504.73,508.93
1.700000000000001,504.99,509.75
1.720000000000001,504.99,509.75
1.740000000000001,504.87,511.68
1.7600000000000011,504.87,511.68
1.7800000000000011,505.5,512.94
1.8000000000000012,504.4,514.35
1.8200000000000012,503.12,515.88
1.8400000000000012,503.29,515.71
1.8600000000000012,504.44,515.77
1.8800000000000012,503.35,515.01
1.9000000000000012,503.88,514.21
1.9200000000000013,503.88,514.21
1.9400000000000013,502.0,514.37
1.9600000000000013,506.2,516.9
1.9800000000000013,513.56,521.92
2.0000000000000013,517.05,525.14
2.0200000000000014,517.05,525.14
2.0400000000000014,521.11,523.69
2.0600000000000014,521.11,523.69
2.0800000000000014,523.09,523.95
2.1000000000000014,522.78,524.41
2.1200000000000014,522.78,524.41
2.1400000000000015,522.02,524.13
2.1600000000000015,520.02,524.7
2.1800000000000015,518.01,523.36
2.2000000000000015,516.41,521.69
2.2200000000000015,515.33,519.95
2.2400000000000015,514.66,519.36
2.2600000000000016,514.53,517.89
2.2800000000000016,513.62,515.51
2.3000000000000016,511.5,514.21
2.3200000000000016,510.2,512.77
2.3400000000000016,510.2,512.77
2.3600000000000017,511.97,509.61
2.3800000000000017,511.97,509.61
2.4000000000000017,510.98,508.67
2.4200000000000017,510.98,508.67
2.4400000000000017,511.18,509.34
2.4600000000000017,511.75,510.47
2.4800000000000018,510.0,512.58
2.5000000000000018,509.6,514.46
2.520000000000002,509.08,514.77
2.540000000000002,509.46,515.81
2.560000000000002,509.77,514.85
2.580000000000002,510.42,514.68
2.600000000000002,510.42,514.68
2.620000000000002,509.43,512.88
2.640000000000002,509.54,509.1
2.660000000000002,509.23,507.08
2.680000000000002,509.39,506.06
2.700000000000002,509.39,506.06
2.720000000000002,510.17,507.2
2.740000000000002,510.17,507.2
2.760000000000002,511.39,509.21
2.780000000000002,511.11,508.77
2.800000000000002,511.11,508.77
2.820000000000002,511.11,508.77
2.840000000000002,510.23,511.81
2.860000000000002,508.98,512.85
2.880000000000002,509.19,512.68
2.900000000000002,508.55,512.34
2.920000000000002,508.55,512.34
2.940000000000002,506.99,509.7
2.960000000000002,507.99,509.36
2.980000000000002,507.99,509.36
