time_s,,V
0.0,508.46,474.81
0.02,510.8,514.8
0.04,510.8,514.8
0.06,510.8,514.8
0.08,510.8,514.8
0.1,510.8,514.8
0.12000000000000001,510.8,514.8
0.14,510.8,514.8
0.16,510.8,514.8
0.18,510.8,514.8
0.19999999999999998,510.8,514.8
0.21999999999999997,510.8,514.8
0.23999999999999996,510.8,514.8
0.25999999999999995,510.8,514.8
0.27999999999999997,510.8,514.8
0.3,510.8,514.8
0.32,510.8,514.8
0.34,510.8,514.8
0.36000000000000004,510.8,514.8
0.38000000000000006,510.8,514.8
0.4000000000000001,510.8,514.8
0.4200000000000001,510.8,514.8
0.4400000000000001,510.8,514.8
0.46000000000000013,510.8,514.8
0.48000000000000015,510.8,514.8
0.5000000000000001,510.8,514.8
0.5200000000000001,510.8,514.8
0.5400000000000001,510.8,514.8
0.5600000000000002,510.8,514.8
0.5800000000000002,510.8,514.8
0.6000000000000002,510.8,514.8
0.6200000000000002,510.8,514.8
0.6400000000000002,510.8,514.8
0.6600000000000003,510.8,514.8
0.6800000000000003,510.8,514.8
0.7000000000000003,510.8,514.8
0.7200000000000003,510.8,514.8
0.7400000000000003,510.8,514.8
0.7600000000000003,510.8,514.8
0.7800000000000004,510.8,514.8
0.8000000000000004,510.8,514.8
0.8200000000000004,510.8,514.8
0.8400000000000004,510.8,514.8
0.8600000000000004,510.8,514.8
0.8800000000000004,510.8,514.8
0.9000000000000005,510.8,514.8
0.9200000000000005,510.8,514.8
0.9400000000000005,510.8,514.8
0.9600000000000005,510.8,514.8
0.9800000000000005,510.8,514.8
1.0000000000000004,510.8,514.8
1.0200000000000005,510.8,514.8
1.0400000000000005,510.8,514.8
1.0600000000000005,510.8,514.8
1.0800000000000005,510.8,514.8
1.1000000000000005,510.8,514.8
1.1200000000000006,510.8,514.8
1.1400000000000006,510.8,514.8
1.1600000000000006,510.8,514.8
1.1800000000000006,510.8,514.8
1.2000000000000006,510.8,514.8
1.2200000000000006,510.8,514.8
1.2400000000000007,510.8,514.8
1.2600000000000007,510.8,514.8
1.2800000000000007,510.8,514.8
1.3000000000000007,510.8,514.8
1.3200000000000007,510.8,514.8
1.3400000000000007,510.8,514.8
1.3600000000000008,510.8,514.8
1.3800000000000008,510.8,514.8
1.4000000000000008,510.44,516.04
1.4200000000000008,510.55,513.63
1.4400000000000008,510.24,513.31
1.4600000000000009,510.19,510.44
1.4800000000000009,509.75,510.56
1.5000000000000009,510.8,511.84
1.520000000000001,511.24,507.88
1.540000000000001,512.39,510.3
1.560000000000001,512.39,510.3
1.580000000000001,511.41,513.51
1.600000000000001,511.33,514.61
1.620000000000001,511.33,514.61
1.640000000000001,509.97,518.43
1.660000000000001,509.97,518.43
1.680000000000001,509.18,518.6
1.700000000000001,509.18,518.6
1.720000000000001,507.75,519.68
1.740000000000001,508.0,520.54
1.7600000000000011,507.8,520.83
1.7800000000000011,507.44,527.27
1.8000000000000012,506.55,536.41
1.8200000000000012,510.04,536.93
1.8400000000000012,513.43,511.34
1.8600000000000012,516.15,474.88
1.8800000000000012,516.15,474.88
1.9000000000000012,517.81,427.44
1.9200000000000013,518.25,418.75
1.9400000000000013,517.6,415.8
1.9600000000000013,516.28,415.84
1.9800000000000013,516.28,415.84
2.0000000000000013,513.1,431.3
2.0200000000000014,513.1,431.3
2.0400000000000014,511.68,439.84
2.0600000000000014,511.14,447.67
2.0800000000000014,510.51,456.34
2.1000000000000014,510.81,463.47
2.1200000000000014,511.25,468.58
2.1400000000000015,511.25,468.58
2.1600000000000015,512.36,481.81
2.1800000000000015,512.89,485.05
2.2000000000000015,513.31,489.44
2.2200000000000015,514.85,494.55
2.2400000000000015,514.85,494.55
2.2600000000000016,515.82,503.79
2.2800000000000016,515.86,508.23
2.3000000000000016,515.86,508.23
2.3200000000000016,515.87,513.47
2.3400000000000016,515.87,513.47
2.3600000000000017,513.64,517.54
2.3800000000000017,513.64,517.54
2.4000000000000017,512.91,517.83
2.4200000000000017,513.13,518.67
2.4400000000000017,511.3,518.53
2.4600000000000017,510.44,517.23
2.4800000000000018,509.55,514.98
2.5000000000000018,511.24,513.98
2.520000000000002,511.39,512.39
2.540000000000002,512.12,511.51
2.560000000000002,512.89,511.21
2.580000000000002,513.71,512.37
2.600000000000002,513.37,512.89
2.620000000000002,512.9,514.91
2.640000000000002,512.9,514.91
2.660000000000002,511.85,517.55
2.680000000000002,510.68,517.24
2.700000000000002,510.68,517.24
2.720000000000002,510.72,517.87
2.740000000000002,510.72,517.87
2.760000000000002,510.37,516.3
2.780000000000002,510.7,516.24
2.800000000000002,510.36,515.39
2.820000000000002,511.49,514.11
2.840000000000002,512.39,512.69
2.860000000000002,512.91,512.95
2.880000000000002,513.73,513.76
2.900000000000002,513.73,513.76
2.920000000000002,513.99,514.25
2.940000000000002,512.79,515.2
2.960000000000002,512.43,515.76
