Program Time [s],data 0,data 1
0.0,518.0387321168344,504.10397730514296
0.02,513.6291270626049,505.0871114180294
0.04,528.65892584477,510.55350286431946
0.06,503.3890661228278,520.895918906257
0.08,503.4433390245049,496.9999792445304
0.1,504.64764036677167,511.8945396252976
0.12,503.90810892137966,510.7306829898677
0.14,507.1026353282508,499.41634966455797
0.16,508.72124367033615,520.0652287751743
0.18,506.76156602645216,521.2456176231914
0.2,515.8993467354236,513.7755440396508
0.22,504.6296154864559,503.918095220401
0.24,515.2323982057017,519.1108961855443
0.26,511.93510377092014,511.24817854737057
0.28,516.3985784106857,505.73177123316464
0.3,513.112219025734,515.3770287096856
0.32,507.63967966860764,509.03503566304
0.34,512.4559016323626,522.5480315616312
0.36,499.89223509898784,504.1542168933607
0.38,508.0522049762015,508.2927189318052
0.4,496.8611186784603,521.4004964570962
0.42,480.27749647586086,511.1210077532168
0.44,498.50714244008805,508.14648001173265
0.46,507.3694080791432,506.50788062913125
0.48,495.9786384390875,491.6988466525719
0.5,508.5649629618006,500.0509103810271
0.52,521.284554563254,531.9457370913417
0.54,542.5636309625494,524.0429404822498
0.56,579.0826547231363,574.6714118415915
0.58,634.0714631242455,629.9785930124804
0.6,694.7194989929684,685.7739018960361
0.62,741.3735745285167,738.8064361302396
0.64,736.1787177006578,760.4249992613317
0.66,701.1471682605829,723.2936199782636
0.68,652.1699714733669,691.6361302031625
0.7,564.0798540012108,619.9181850227639
0.72,489.337613210344,511.0722519018199
0.74,427.24907192789243,480.30391579943836
0.76,444.4657355181642,439.25539553032803
0.78,398.62050344315276,437.4462586297836
0.8,407.37516516552273,442.38597064246727
0.82,434.8970137050944,443.5390552282104
0.84,450.9351773749147,428.0713373795727
0.86,457.2751966772957,475.6962170564885
0.88,495.66832976500444,482.93334197947354
0.9,505.73517194707756,476.46267196255155
0.92,500.9327777373553,505.926091990677
0.94,508.71247207584173,505.40082947067106
0.96,514.5782201189799,498.0049270792371
0.98,509.6864622009632,515.2639176116638
1.0,516.1780056673188,512.9476254408723
1.02,505.3709288736054,521.9682474598818
1.04,514.6987279376284,523.3392152318149
1.06,535.9950863169981,518.7694715866558
1.08,526.0021112377767,521.7276209272284
1.1,515.1626305330217,516.8110901495403
1.12,521.4557605024236,527.9901478625459
1.14,527.7675280225772,522.360875015182
1.16,539.2061940748789,517.1522919440279
1.18,527.8379638230556,526.7446007729544
1.2,523.6271624429016,512.7589955316485
1.22,509.59361619241156,515.7364955780345
1.24,511.23879665838786,512.7359364568881
1.26,520.0065673524737,522.27263410323
1.28,510.97572634260166,512.4547392942216
1.3,516.2732337601813,523.6110361935253
1.32,502.53161988396994,519.9425449659198
1.34,501.80346736968085,515.5276198485475
1.36,514.8603027798507,530.4665168013026
1.38,522.6440998564378,501.1593286279333
1.4,523.5587233652763,526.9468260308995
1.42,512.5616590442894,518.984584470422
1.44,517.8937414328391,519.7667221197755
1.46,515.5073570678903,517.5968518428216
1.48,511.13442682657427,529.0279781399884
1.5,513.9227847270779,512.1554521934601
1.52,509.4441780835273,520.6541465320283
1.54,519.9978197844432,532.3080574725693
1.56,522.6002396066309,517.2461299292877
1.58,527.6321862087855,520.8152290830214
1.6,516.4873701106332,517.4368555099878
1.62,500.70009375799907,524.1455053168205
1.64,514.2730186979198,523.8322195905514
1.66,521.9759818852795,515.9304507895732
1.68,518.6360682427587,521.9927306576521
1.7,522.830583293218,498.76103803068287
1.72,517.3999093016806,528.3769057761323
1.74,508.39937970771797,531.6603465534538
1.76,529.1067270599224,517.9290551809943
1.78,524.3672084048605,523.6050312443051
